LogP(RRCK),smiles
-5.08,[H]C1N=C(C2C([H])=C(OC3C([H])=C([H])C(=C([H])C=3[H])S(=O)(=O)C([H])([H])[H])C([H])=C(OC([H])(C([H])([H])[H])C([H])([H])[H])C=2[H])N([H])C(=O)C=1Cl
-4.82,[H]C1N=C(C2C([H])=C(OC3C([H])=C([H])C(=C([H])C=3[H])S(=O)(=O)N([H])C([H])([H])[H])C([H])=C(OC([H])(C([H])([H])[H])C([H])([H])[H])C=2[H])N([H])C(=O)C=1[H]
-4.89,[H]C1=NC(C(=O)N(C([H])([H])[H])C([H])([H])[H])=C(F)C([H])=C1OC1C([H])=C(OC([H])(C([H])([H])[H])C([H])([H])[H])C([H])=C(C2=NC([H])=C([H])C(=O)N2[H])C=1[H]
-4.8,[H]C1=NC(OC2C([H])=C(OC([H])(C([H])([H])[H])C([H])([H])[H])C([H])=C(C3=NC([H])=C([H])C(=O)N3[H])C=2[H])=C([H])N=C1C(=O)N(C([H])([H])[H])C([H])([H])[H]
-4.77,[H]C1=NC(=NC([H])=C1OC1C([H])=C(OC([H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])=C(C2=NC([H])=C([H])C(=O)N2[H])C=1[H])C(=O)N(C([H])([H])[H])C([H])([H])[H]
-4.85,[H]C1=NC(=NC([H])=C1OC1C([H])=C(OC2([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])=C(C2=NC([H])=C([H])C(=O)N2[H])C=1[H])C(=O)N(C([H])([H])[H])C([H])([H])[H]
-4.96,[H]C1=NC(=NC([H])=C1OC1C([H])=C(OC([H])(C([H])([H])[H])C([H])([H])[H])C([H])=C(C2=NC([H])=C(C(=O)N2[H])C([H])([H])[H])C=1[H])C(=O)N(C([H])([H])[H])C([H])([H])[H]
-5.66,[H]C1=NC(OC2C([H])=C(OC([H])(C([H])([H])[H])C([H])([H])OC([H])([H])[H])C([H])=C(C3=NC([H])=C([H])C(=O)N3[H])C=2[H])=C([H])N=C1C(=O)N(C([H])([H])[H])C([H])([H])[H]
-4.85,[H]OC([H])([H])C([H])(OC1=C([H])C(OC2C([H])=C([H])C(=C([H])C=2[H])S(=O)(=O)N(C([H])([H])[H])C([H])([H])[H])=C([H])C(C2=NC([H])=C(C(=O)N2[H])C([H])([H])[H])=C1[H])C([H])([H])[H]
-5.8,[H]OC([H])([H])C([H])(OC1=C([H])C(OC2C([H])=C([H])C(=C([H])C=2[H])S(=O)(=O)N([H])C([H])([H])[H])=C([H])C(C2=NC([H])=C(C(=O)N2[H])C([H])([H])[H])=C1[H])C([H])([H])[H]
-6,[H]OC(=O)C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])(C2C([H])=C([H])C(=C([H])C=2[H])N2C(=O)C3C(=NC([H])=NC=3OC([H])([H])C2([H])[H])N([H])[H])C([H])([H])C1([H])[H]
-4.48,[H]C1=NC2OC([H])([H])C([H])([H])N(C(=O)C=2C(=N1)N([H])[H])C1C([H])=C([H])C(=C([H])C=1[H])C([H])([H])[H]
-4.55,[H]C1=NC2OC([H])([H])C([H])([H])N(C(=O)C=2C(=N1)N([H])[H])C1C([H])=C([H])C(=C([H])C=1[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]
-5.4,[H]OC(=O)C([H])([H])C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])(C2C([H])=C([H])C(=C([H])C=2[H])N2C(=O)C3C(=NC([H])=NC=3OC([H])([H])C2([H])[H])N([H])[H])C([H])([H])C1([H])[H]
-4.77,[H]C1=NC2OC([H])([H])C([H])([H])N(C(=O)C=2C(=N1)N([H])[H])C1C([H])=C([H])C(=C([H])C=1[H])C1([H])C([H])([H])C([H])([H])C([H])(C([H])([H])C(=O)OC([H])([H])[H])C([H])([H])C1([H])[H]
-5.4,[H]C1=NC2OC([H])([H])C([H])([H])N(C(=O)C=2C(=N1)N([H])[H])C1C([H])=C([H])C(=C([H])C=1[H])C1([H])C([H])([H])C([H])([H])C([H])(C([H])([H])C(=O)N([H])[H])C([H])([H])C1([H])[H]
-4.89,[H]C1=NC2OC([H])([H])C([H])([H])N(C(=O)C=2C(=N1)N([H])[H])C1C([H])=C([H])C(=C([H])C=1[H])C1([H])C([H])([H])C([H])([H])C([H])(C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])[H])C([H])([H])C1([H])[H]
-4.66,[H]C1=NC2OC([H])([H])C([H])([H])N(C(=O)C=2C(=N1)N([H])[H])C1C([H])=C([H])C(=C([H])C=1[H])C1([H])C([H])([H])C([H])([H])C([H])(C([H])([H])C(=O)N([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])C1([H])[H]
-5.4,[H]OC([H])([H])C([H])(N([H])C(=O)C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])(C2C([H])=C([H])C(=C([H])C=2[H])N2C(=O)C3C(=NC([H])=NC=3OC([H])([H])C2([H])[H])N([H])[H])C([H])([H])C1([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H]
-4.62,[H]C1=NC2OC([H])([H])C([H])([H])N(C(=O)C=2C(=N1)N([H])[H])C1C([H])=C([H])C(=C([H])C=1[H])C1([H])C([H])([H])C([H])([H])C([H])(C([H])([H])C(=O)N2C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])C1([H])[H]
-5.7,[H]OC1([H])C([H])([H])N(C(=O)C([H])([H])C2([H])C([H])([H])C([H])([H])C([H])(C3C([H])=C([H])C(=C([H])C=3[H])N3C(=O)C4C(=NC([H])=NC=4OC([H])([H])C3([H])[H])N([H])[H])C([H])([H])C2([H])[H])C([H])([H])C1([H])[H]
-4.96,[H]C1=NC2OC([H])([H])C([H])([H])N(C(=O)C=2C(=N1)N([H])[H])C1C([H])=C([H])C(=C([H])C=1[H])C1([H])C([H])([H])C([H])([H])C([H])(C([H])([H])C(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])C([H])([H])C1([H])[H]
-5.7,[H]C1=NC2OC([H])([H])C([H])([H])N(C(=O)C=2C(=N1)N([H])[H])C1C([H])=C([H])C(=C([H])C=1[H])C1([H])C([H])([H])C([H])([H])C([H])(C([H])([H])C(=O)N2C([H])([H])C(=O)N(C([H])([H])[H])C([H])([H])C2([H])[H])C([H])([H])C1([H])[H]
-4.66,[H]C1=NC2OC([H])([H])C([H])([H])N(C(=O)C=2C(=N1)N([H])[H])C1C([H])=C([H])C(=C([H])C=1[H])C1([H])C([H])([H])C([H])([H])C([H])(C([H])([H])C(=O)N2C([H])([H])C([H])([H])C([H])(OC([H])([H])[H])C([H])([H])C2([H])[H])C([H])([H])C1([H])[H]
-5.3,[H]C1=NC2OC([H])([H])C([H])([H])N(C(=O)C=2C(=N1)N([H])[H])C1C([H])=C([H])C(=C([H])C=1[H])C1([H])C([H])([H])C([H])([H])N(C(=O)C([H])([H])[H])C([H])([H])C1([H])[H]
-4.8,[H]C1=NC2OC([H])([H])C([H])([H])N(C(=O)C=2C(=N1)N([H])[H])C1C([H])=C([H])C(=C([H])C=1[H])C1([H])C([H])([H])C([H])([H])N(C(=O)C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C1([H])[H]
-5.22,[H]C1=NC2OC([H])([H])C([H])([H])N(C(=O)C=2C(=N1)N([H])[H])C1C([H])=C([H])C(=C([H])C=1[H])C1([H])C([H])([H])C([H])([H])N(C(=O)C([H])([H])OC([H])([H])C([H])([H])[H])C([H])([H])C1([H])[H]
-4.68,[H]C1=NC2OC([H])([H])C([H])([H])N(C(=O)C=2C(=N1)N([H])[H])C1C([H])=C([H])C(=C([H])C=1[H])C1([H])C([H])([H])C([H])([H])N(C(=O)C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])C1([H])[H]
-5.52,[H]C1=NC2OC([H])([H])C([H])([H])N(C(=O)C=2C(=N1)N([H])[H])C1C([H])=C([H])C(=C([H])C=1[H])C1([H])C([H])([H])C([H])([H])N(C(=O)C2([H])C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])C([H])([H])C1([H])[H]
-6,[H]OC1([H])C([H])([H])C([H])([H])C([H])(C(=O)N2C([H])([H])C([H])([H])C([H])(C3C([H])=C([H])C(=C([H])C=3[H])N3C(=O)C4C(=NC([H])=NC=4OC([H])([H])C3([H])[H])N([H])[H])C([H])([H])C2([H])[H])C([H])([H])C1([H])[H]
-4.72,[H]C1=NC2OC([H])([H])C([H])([H])N(C(=O)C=2C(=N1)N([H])[H])C1C([H])=C([H])C(=C([H])C=1[H])C1([H])C([H])([H])C([H])([H])N(C(=O)C2C([H])=C([H])C([H])=C([H])C=2[H])C([H])([H])C1([H])[H]
-4.85,[H]C1=NC2OC([H])([H])C([H])([H])N(C(=O)C=2C(=N1)N([H])[H])C1C([H])=C([H])C(=C([H])C=1[H])C1([H])C([H])([H])C([H])([H])N(C(=O)C2ON=C([H])C=2[H])C([H])([H])C1([H])[H]
-4.8,[H]C1=NC2OC([H])([H])C([H])([H])N(C(=O)C=2C(=N1)N([H])[H])C1C([H])=C([H])C(=C([H])C=1[H])C1([H])C([H])([H])C([H])([H])N(C(=O)C2=NOC([H])=C2[H])C([H])([H])C1([H])[H]
-4.57,[H]C1=NC2OC([H])([H])C([H])([H])N(C(=O)C=2C(=N1)N([H])[H])C1C([H])=C([H])C(=C([H])C=1[H])C1([H])C([H])([H])C([H])([H])C([H])(C([H])([H])C#N)C([H])([H])C1([H])[H]
-4.64,[H]OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])(C2C([H])=C([H])C(=C([H])C=2[H])N2C(=O)C3C(=NC([H])=NC=3OC([H])([H])C2([H])[H])N([H])[H])C([H])([H])C1([H])[H]
-5.7,[H]C1=NC2OC([H])([H])C([H])([H])N(C(=O)C=2C(=N1)N([H])[H])C1C([H])=C([H])C(=C([H])C=1[H])C1([H])C([H])([H])C([H])([H])C([H])(C([H])([H])C1([H])[H])C([H])([H])C(N([H])[H])(C([H])([H])[H])C([H])([H])[H]
-4.41,[H]C1=NC2OC([H])([H])C([H])([H])N(C(=O)C=2C(=N1)N([H])[H])C1C([H])=C([H])C(=C([H])C=1[H])C1([H])C([H])([H])C([H])([H])C([H])(C([H])([H])C2=NC(=NO2)C([H])([H])[H])C([H])([H])C1([H])[H]
-4.92,[H]C1=NC2OC([H])([H])C([H])([H])N(C(=O)C=2C(=N1)N([H])[H])C1C([H])=C([H])C(=C([H])C=1[H])C1([H])C([H])([H])C([H])([H])C([H])(C([H])([H])C2=NN=C(O2)C([H])([H])[H])C([H])([H])C1([H])[H]
-4.96,[H]C1=NC2OC([H])([H])C([H])([H])N(C(=O)C=2C(=N1)N([H])[H])C1C([H])=C([H])C(=C([H])C=1[H])C1([H])C([H])([H])C([H])([H])C([H])(C([H])([H])C2=NN=C(S2)C([H])([H])[H])C([H])([H])C1([H])[H]
-5.22,[H]C1=NC2OC([H])([H])C([H])([H])N(C(=O)C=2C(=N1)N([H])[H])C1C([H])=C([H])C(=C([H])C=1[H])C1([H])C([H])([H])C([H])([H])C([H])(C([H])([H])C2=NN=C(N2[H])C([H])([H])[H])C([H])([H])C1([H])[H]
-6.22,[H]C1=NC2OC([H])([H])C([H])([H])N(C(=O)C=2C(=N1)N([H])[H])C1C([H])=C([H])C(=C([H])C=1[H])C1([H])C([H])([H])C([H])([H])C([H])(C([H])([H])C2=NN=C(N2C([H])([H])[H])C([H])([H])[H])C([H])([H])C1([H])[H]
-4.66,[H]C1=NC2OC([H])([H])C([H])([H])N(C(=O)C=2C(=N1)N([H])[H])C1C([H])=C([H])C(=C([H])C=1[H])C1([H])C([H])([H])C([H])([H])C([H])(C([H])([H])C([H])([H])C2=NC(=NO2)C([H])([H])[H])C([H])([H])C1([H])[H]
-5.01,[H]C1=NN([H])C2C([H])=C([H])C(C(=O)N3C([H])([H])C([H])([H])C4(OC5C(=NN(C=5[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C(=O)C4([H])[H])C([H])([H])C3([H])[H])=C([H])C=21
-5.1,[H]C1=NN([H])C2C([H])=C([H])C(C(=O)N3C([H])([H])C([H])([H])C4(OC5C([H])=C([H])C(=C([H])C=5C(=O)N4[H])C([H])([H])[H])C([H])([H])C3([H])[H])=C([H])C=21
-6.15,[H]C1=NN([H])C2C([H])=C([H])C(C(=O)N3C([H])([H])C([H])([H])C4(N([H])C(=O)C5=NN(C([H])=C5C4([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C3([H])[H])=C([H])C=21
-6.3,[H]C1=C(C(=O)N2C([H])([H])C([H])([H])C3(N([H])C(=O)C4=NN(C([H])=C4C3([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C2([H])[H])C([H])=C(C2=C1C(=NN2[H])C([H])([H])[H])C([H])([H])[H]
-6.22,[H]C1=C(C(=O)N2C([H])([H])C([H])([H])C3(N([H])C(=O)C4=NN(C([H])=C4C3([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C2([H])[H])C([H])=C(C2=C1C(=NN2[H])C([H])([H])[H])C([H])([H])[H]
-5.8,[H]C1=C(C(=O)N2C([H])([H])C([H])([H])C3(N([H])C(=O)C4=NN(C([H])=C4C3([H])[H])C3([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C2([H])[H])C([H])=C(C2=C1C(=NN2[H])C([H])([H])[H])C([H])([H])[H]
-5.92,[H]C1=C(C(=O)N2C([H])([H])C([H])([H])C3(N([H])C(=O)C4=NN(C([H])=C4C3([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])C2([H])[H])C([H])=C(C2=C1C(=NN2[H])C([H])([H])[H])C([H])([H])[H]
-4.82,[H]C1=NN(C2C(=O)N([H])C3(C([H])([H])C=21)C([H])([H])C([H])([H])N(C(=O)C1=C([H])C2C(=NN([H])C=2C(=C1[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])C3([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
-5.15,[H]C1=NN(C2C(=O)N([H])C3(C([H])([H])C=21)C([H])([H])C([H])([H])N(C(=O)C1=C([H])C2C(=NN([H])C=2C(=C1[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])C3([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H]
-5.57,[H]C1=C(C(=O)N2C([H])([H])C([H])([H])C3(N(C(=O)C4=NN(C([H])=C4C3([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])C2([H])[H])C([H])=C(C2=C1C(=NN2[H])C([H])([H])[H])C([H])([H])[H]
-5.82,[H]C1=C([H])C2=C(C(=NN2[H])C(F)(F)F)C([H])=C1C(=O)N1C([H])([H])C([H])([H])C2(N([H])C(=O)C3=NN(C([H])=C3C2([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C1([H])[H]
-5.85,[H]C1=C([H])C2=C(C(Cl)=NN2[H])C([H])=C1C(=O)N1C([H])([H])C([H])([H])C2(N([H])C(=O)C3=NN(C([H])=C3C2([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C1([H])[H]
-5.4,[H]C1=C([H])C2=C(C([H])=C1C(=O)N1C([H])([H])C([H])([H])C3(N([H])C(=O)C4=NN(C([H])=C4C3([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C1([H])[H])C(Cl)=C([H])N2[H]
-5.38,[H]C1=C([H])C2C(Cl)=C([H])N([H])C=2C([H])=C1C(=O)N1C([H])([H])C([H])([H])C2(N([H])C(=O)C3=NN(C([H])=C3C2([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C1([H])[H]
-6.1,[H]C1=NC2C(Cl)=C([H])N([H])C=2C([H])=C1C(=O)N1C([H])([H])C([H])([H])C2(N([H])C(=O)C3=NN(C([H])=C3C2([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C1([H])[H]
-5.01,[H]C1=NC(OC([H])([H])[H])=C([H])C2C([H])=C(C(=O)N3C([H])([H])C([H])([H])C4(N([H])C(=O)C5=NN(C([H])=C5C4([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C3([H])[H])C([H])=C([H])C=21
-4.96,[H]C1C(=NC2C([H])=C(C(=O)N3C([H])([H])C([H])([H])C4(N([H])C(=O)C5=NN(C([H])=C5C4([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C3([H])[H])C([H])=C([H])C=2C=1[H])OC([H])([H])[H]
-5.01,[H]C1N=C(OC([H])([H])[H])C2C([H])=C(C(=O)N3C([H])([H])C([H])([H])C4(N([H])C(=O)C5=NN(C([H])=C5C4([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C3([H])[H])C([H])=C([H])C=2C=1[H]
-5.82,[H]C1C(=NC2C([H])=C(C(=O)N3C([H])([H])C([H])([H])C4(N([H])C(=O)C5=NN(C([H])=C5C4([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C3([H])[H])C([H])=C([H])C=2C=1[H])N([H])C([H])([H])[H]
-6.05,[H]C1N=C(C2C([H])=C(C(=O)N3C([H])([H])C([H])([H])C4(N([H])C(=O)C5=NN(C([H])=C5C4([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C3([H])[H])C([H])=C([H])C=2C=1[H])N([H])C([H])([H])[H]
-5.6,[H]C1C(=NC2C([H])=C(C(=O)N3C([H])([H])C([H])([H])C4(N([H])C(=O)C5=NN(C([H])=C5C4([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C3([H])[H])C([H])=C([H])C=2C=1[H])N([H])C([H])([H])C([H])([H])C([H])([H])[H]
-5.21,[H]C1C(=NC2C([H])=C(C(=O)N3C([H])([H])C([H])([H])C4(N([H])C(=O)C5=NN(C([H])=C5C4([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C3([H])[H])C([H])=C([H])C=2C=1[H])N(C([H])([H])[H])C([H])([H])[H]
-5.26,[H]C1=NC(=NO1)C1C([H])=C([H])C(=C(F)C=1[H])C([H])([H])N(C([H])(C(=O)N([H])[H])C([H])([H])C([H])([H])C(F)(F)F)S(=O)(=O)C1C([H])=C([H])C(Cl)=C([H])C=1[H]
-4.71,[H]C1=NC(=NO1)C12C([H])([H])C(C([H])([H])N(C([H])(C(=O)N([H])[H])C([H])([H])C([H])([H])C(F)(F)F)S(=O)(=O)C3C([H])=C([H])C(Cl)=C([H])C=3[H])(C1([H])[H])C2([H])[H]
-4.52,[H]C1=C([H])C(=C([H])C([H])=C1Cl)S(=O)(=O)N(C([H])([H])C12C([H])([H])C(C#N)(C1([H])[H])C2([H])[H])C([H])(C(=O)N([H])[H])C([H])([H])C([H])([H])C(F)(F)F
-4.71,[H]C1=C([H])C(=C([H])C([H])=C1Cl)S(=O)(=O)N(C([H])([H])C1C([H])=C([H])C(C#N)=C([H])C=1[H])C([H])(C(=O)N([H])[H])C([H])([H])C([H])([H])C(F)(F)F
