LogP(RRCK),smiles
-4.73,[H]C1=C([H])C(=C([H])C([H])=C1Cl)S(=O)(=O)N(C([H])([H])C1=C([H])C([H])=C(C#N)C([H])=C1F)C([H])(C(=O)N([H])[H])C([H])([H])C([H])([H])C(F)(F)F
-4.99,[H]C1=C([H])C(=C([H])C([H])=C1Cl)S(=O)(=O)N(C([H])([H])C([H])([H])C#N)C([H])(C(=O)N([H])[H])C([H])([H])C([H])([H])C(F)(F)F
-4.56,[H]C1=C([H])C(=C([H])C([H])=C1Cl)S(=O)(=O)N(C([H])([H])C([H])([H])C([H])([H])C#N)C([H])(C(=O)N([H])[H])C([H])([H])C([H])([H])C(F)(F)F
-4.62,[H]C1=C([H])C(=C([H])C([H])=C1Cl)S(=O)(=O)N(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C#N)C([H])(C(=O)N([H])[H])C([H])([H])C([H])([H])C(F)(F)F
-4.67,[H]C1=C([H])C(=C([H])C([H])=C1Cl)S(=O)(=O)N(C([H])([H])C1([H])C([H])([H])C1([H])C#N)C([H])(C(=O)N([H])[H])C([H])([H])C([H])([H])C(F)(F)F
-5,[H]C1=C([H])C(=C([H])C([H])=C1Cl)S(=O)(=O)N(C([H])([H])C1([H])C([H])([H])C1([H])C#N)C([H])(C(=O)N([H])[H])C([H])([H])C([H])([H])C(F)(F)F
-4.62,[H]C1=C([H])C(=C([H])C([H])=C1Cl)S(=O)(=O)N(C([H])([H])C1([H])C([H])([H])C([H])(C#N)C1([H])[H])C([H])(C(=O)N([H])[H])C([H])([H])C([H])([H])C(F)(F)F
-4.6,[H]C1=C([H])C(=C([H])C([H])=C1Cl)S(=O)(=O)N(C([H])([H])C1([H])C([H])([H])C([H])(C#N)C1([H])[H])C([H])(C(=O)N([H])[H])C([H])([H])C([H])([H])C(F)(F)F
-4.66,[H]C1=C([H])C(=C([H])C([H])=C1Cl)S(=O)(=O)N(C([H])([H])C1([H])C([H])([H])C(C#N)(C([H])([H])[H])C1([H])[H])C([H])(C(=O)N([H])[H])C([H])([H])C([H])([H])C(F)(F)F
-4.59,[H]C1=C([H])C(=C([H])C([H])=C1Cl)S(=O)(=O)N(C([H])([H])C1([H])C([H])([H])C(C#N)(C([H])([H])[H])C1([H])[H])C([H])(C(=O)N([H])[H])C([H])([H])C([H])([H])C(F)(F)F
-4.52,[H]C1=C([H])C(=C([H])C([H])=C1Cl)S(=O)(=O)N(C([H])([H])C1(C#N)C([H])([H])C1([H])[H])C([H])(C(=O)N([H])[H])C([H])([H])C([H])([H])C(F)(F)F
-4.84,[H]C1=C([H])C(=C([H])C([H])=C1Cl)S(=O)(=O)N(C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])(C#N)C([H])([H])C1([H])[H])C([H])(C(=O)N([H])[H])C([H])([H])C([H])([H])C(F)(F)F
-4.8,[H]C1=C([H])C(=C([H])C([H])=C1Cl)S(=O)(=O)N(C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])(C#N)C([H])([H])C1([H])[H])C([H])(C(=O)N([H])[H])C([H])([H])C([H])([H])C(F)(F)F
-4.53,[H]C1=NC(=NO1)C([H])([H])C([H])([H])N(C([H])(C(=O)N([H])[H])C([H])([H])C([H])([H])C(F)(F)F)S(=O)(=O)C1C([H])=C([H])C(Cl)=C([H])C=1[H]
-4.5,[H]C1=NC(=NO1)C([H])([H])C([H])([H])C([H])([H])N(C([H])(C(=O)N([H])[H])C([H])([H])C([H])([H])C(F)(F)F)S(=O)(=O)C1C([H])=C([H])C(Cl)=C([H])C=1[H]
-4.79,[H]C1=NC(=NO1)C1(C([H])([H])N(C([H])(C(=O)N([H])[H])C([H])([H])C([H])([H])C(F)(F)F)S(=O)(=O)C2C([H])=C([H])C(Cl)=C([H])C=2[H])C([H])([H])C1([H])[H]
-4.85,[H]C1=NC(=NO1)C1([H])C([H])([H])C([H])(C([H])([H])N(C([H])(C(=O)N([H])[H])C([H])([H])C([H])([H])C(F)(F)F)S(=O)(=O)C2C([H])=C([H])C(Cl)=C([H])C=2[H])C1([H])[H]
-6.22,[H]OC(=O)C([H])([H])C([H])([H])N([H])C(=O)C1C([H])=C([H])C(=C([H])C=1[H])C([H])(N([H])C1C([H])=C([H])C(=C([H])C=1[H])N1C([H])=NC(=C1[H])C(F)(F)F)C([H])([H])C([H])([H])C([H])([H])[H]
-5.4,[H]OC(=O)C([H])([H])C([H])([H])N([H])C(=O)C1C([H])=C([H])C(=C([H])C=1[H])C([H])(N([H])C1C([H])=C([H])C(=C([H])C=1[H])N1N=C([H])C(=C1[H])C(F)(F)F)C([H])([H])C([H])([H])C([H])([H])[H]
-5.34,[H]OC(=O)C([H])([H])C([H])([H])N([H])C(=O)C1C([H])=C([H])C(=C([H])C=1[H])C([H])(N([H])C1C([H])=NC(=C([H])C=1[H])N1N=C([H])C(=C1[H])C(F)(F)F)C([H])([H])C([H])([H])C([H])([H])[H]
-6.1,[H]OC(=O)C([H])([H])C([H])([H])N([H])C(=O)C1C([H])=C([H])C(=C([H])C=1[H])C([H])(N([H])C1N=C([H])C(=C([H])C=1[H])N1N=C([H])C(=C1[H])C(F)(F)F)C([H])([H])C([H])([H])C([H])([H])[H]
-6.1,[H]OC(=O)C([H])([H])C([H])([H])N([H])C(=O)C1C([H])=C([H])C(=C([H])C=1[H])C([H])(N([H])C1C([H])=NC(=NC=1[H])N1N=C([H])C(=C1[H])C(F)(F)F)C([H])([H])C([H])([H])C([H])([H])[H]
-5.57,[H]OC(=O)C([H])([H])C([H])([H])N([H])C(=O)C1C([H])=C([H])C(=C([H])C=1[H])C([H])(N([H])C1=C([H])C(=C(C(=C1[H])C([H])([H])[H])N1N=C([H])C(=C1[H])C(F)(F)F)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H]
-5.64,[H]OC(=O)C([H])([H])C([H])([H])N([H])C(=O)C1C([H])=C([H])C(=C([H])C=1[H])C([H])(OC1C([H])=C([H])C(=C([H])C=1[H])N1C([H])=NC(=C1[H])C(F)(F)F)C([H])([H])C([H])([H])C([H])([H])[H]
-5.51,[H]OC(=O)C([H])([H])C([H])([H])N([H])C(=O)C1C([H])=C([H])C(=C([H])C=1[H])C([H])(OC1C([H])=C([H])C(=C([H])C=1[H])N1N=C([H])C(=C1[H])C(F)(F)F)C([H])([H])C([H])([H])C([H])([H])[H]
-5.47,[H]OC(=O)C([H])([H])C([H])([H])N([H])C(=O)C1C([H])=C([H])C(=C([H])C=1[H])C([H])(OC1C([H])=NC(=C([H])C=1[H])N1N=C([H])C(=C1[H])C(F)(F)F)C([H])([H])C([H])([H])C([H])([H])[H]
-5.36,[H]C1N=C(C([H])=C([H])C=1C([H])([H])[H])N([H])C(=O)C1C([H])=C(OC2C([H])=C([H])C(=C([H])C=2[H])S(=O)(=O)C([H])([H])[H])C([H])=C(OC([H])(C([H])([H])[H])C([H])([H])[H])C=1[H]
-4.74,[H]C1C(=O)N([H])C(=C([H])C=1[H])C1C([H])=C(OC2C([H])=C([H])C(=C([H])C=2[H])S(=O)(=O)C([H])([H])[H])C([H])=C(OC([H])(C([H])([H])[H])C([H])([H])[H])C=1[H]
-4.03,[H]C1=NC([H])=C(C2C([H])=C(OC3C([H])=C([H])C(=C([H])C=3[H])S(=O)(=O)C([H])([H])[H])C([H])=C(OC([H])(C([H])([H])[H])C([H])([H])[H])C=2[H])N([H])C1=O
-4.62,[H]C1N=C(C2C([H])=C(OC3C([H])=C([H])C(=C([H])C=3[H])S(=O)(=O)C([H])([H])[H])C([H])=C(OC([H])(C([H])([H])[H])C([H])([H])[H])C=2[H])N([H])C(=O)C=1[H]
-4.77,[H]C1N=C(C2C([H])=C(OC3C([H])=C([H])C(=C([H])C=3[H])S(=O)(=O)C([H])([H])[H])C([H])=C(OC([H])(C([H])([H])[H])C([H])([H])[H])C=2[H])N([H])C(=O)C=1C([H])([H])[H]
-5.32,[H]C1=C([H])C(=C([H])C([H])=C1OC1C([H])=C(OC([H])(C([H])([H])[H])C([H])([H])[H])C([H])=C(C2=NC(=C([H])C(=O)N2[H])C([H])([H])[H])C=1[H])S(=O)(=O)C([H])([H])[H]
-5.15,[H]C1=NC(=NC([H])=C1OC1C([H])=C(OC([H])(C([H])([H])[H])C([H])([H])[H])C([H])=C(C2=NC([H])=C([H])C(=O)N2[H])C=1[H])C(=O)N(C([H])([H])[H])C([H])([H])[H]
-5.55,[H]OC([H])([H])C([H])(OC1=C([H])C(OC2C([H])=C([H])C(=C([H])C=2[H])S(=O)(=O)C([H])([H])C([H])([H])[H])=C([H])C(C2=NC([H])=C([H])C(=O)N2[H])=C1[H])C([H])([H])[H]
-5.4,[H]C1N=C(C2C([H])=C(OC3C([H])=C([H])C(=C([H])C=3[H])S(=O)(=O)C([H])([H])[H])C([H])=C(OC([H])(C([H])([H])[H])C([H])([H])[H])C=2[H])N([H])C(=O)C=1C([H])([H])C([H])([H])[H]
-5.41,[H]C1N=C(C2C([H])=C(OC3C([H])=C([H])C(=C([H])C=3[H])S(=O)(=O)C([H])([H])[H])C([H])=C(OC([H])(C([H])([H])[H])C([H])([H])[H])C=2[H])N([H])C(=O)C=1OC([H])([H])[H]
-6.09,[H]OC([H])([H])C([H])(OC1=C([H])C(OC2C([H])=NC(=NC=2[H])C(=O)N(C([H])([H])[H])C([H])([H])[H])=C([H])C(C2=NC([H])=C([H])C(=O)N2[H])=C1[H])C([H])([H])[H]
-5.21,[H]OC([H])([H])C([H])(C(=O)OC1([H])C([H])([H])C2([H])N(C([H])([H])[H])C([H])(C([H])([H])C2([H])[H])C1([H])[H])C1C([H])=C([H])C([H])=C([H])C=1[H]
-6.1,[H]C1=C([H])C([H])=C(C(Cl)=C1[H])C(C(=O)N([H])[H])(C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])([H])C([H])([H])N(C(=O)C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H]
-4.56,[H]C1=NC(=NC([H])=C1[H])N1C([H])([H])C([H])([H])N(C([H])([H])C1([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N1C(=O)C([H])([H])C2(C([H])([H])C1=O)C([H])([H])C([H])([H])C([H])([H])C2([H])[H]
-4.51,[H]C1=NC2=C(C(=O)N(C(=O)N2C([H])([H])[H])C([H])([H])[H])N1C([H])([H])[H]
-4.41,[H]C1=C([H])C([H])=C2C(C([H])=C([H])C3=C([H])C([H])=C([H])C([H])=C3N2C(=O)N([H])[H])=C1[H]
-5.92,[H]OC([H])(C([H])([H])OC1=C([H])C([H])=C([H])C2=C1C1=C([H])C([H])=C([H])C([H])=C1N2[H])C([H])([H])N([H])C([H])([H])C([H])([H])OC1=C([H])C([H])=C([H])C([H])=C1OC([H])([H])[H]
-5.54,[H]OC(=O)C([H])([H])OC([H])([H])C([H])([H])N1C([H])([H])C([H])([H])N(C([H])(C2C([H])=C([H])C([H])=C([H])C=2[H])C2C([H])=C([H])C(Cl)=C([H])C=2[H])C([H])([H])C1([H])[H]
-5.29,[H]C1N=C2C([H])=C(Cl)C([H])=C([H])C2=C(C=1[H])N([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H]
-5.89,[H]C1=NS(=O)(=O)C2=C([H])C(=C(Cl)C([H])=C2N1[H])S(=O)(=O)N([H])[H]
-4.55,[H]C1=NC(=C([H])C([H])=C1[H])C([H])(C1C([H])=C([H])C(Cl)=C([H])C=1[H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H]
-4.99,[H]C1=C([H])C([H])=C2C(SC3C([H])=C([H])C(Cl)=C([H])C=3N2C([H])([H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])=C1[H]
-5.85,[H]OC(=O)C1C(=O)C2=C([H])C(F)=C(C([H])=C2N(C=1[H])C1([H])C([H])([H])C1([H])[H])N1C([H])([H])C([H])([H])N([H])C([H])([H])C1([H])[H]
-5.12,[H]C1=C([H])C(OC([H])([H])C([H])([H])C([H])([H])N2C([H])([H])C([H])([H])C([H])(N([H])C(=O)C3=C([H])C(Cl)=C(C([H])=C3OC([H])([H])[H])N([H])[H])C([H])(OC([H])([H])[H])C2([H])[H])=C([H])C([H])=C1F
-5.12,[H]C#CC1(O[H])C([H])([H])C([H])([H])C2([H])C3([H])C([H])([H])C([H])([H])C4=C([H])C5ON=C([H])C=5C([H])([H])C4(C([H])([H])[H])C3([H])C([H])([H])C([H])([H])C12C([H])([H])[H]
-5.15,[H]C1=C([H])C([H])=C2C(=C1[H])N(C1=C([H])C([H])=C([H])C([H])=C1C([H])([H])C2([H])[H])C([H])([H])C([H])([H])C([H])([H])N([H])C([H])([H])[H]
-4.44,[H]C1=C([H])C([H])=C(C2=NC([H])([H])C(=O)N(C3C([H])=C([H])C(Cl)=C([H])C=32)C([H])([H])[H])C([H])=C1[H]
-4.75,[H]OC(=O)C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1N([H])C1C(Cl)=C([H])C([H])=C([H])C=1Cl
-4.65,[H]OC(=O)C1C([H])=C(C([H])=C([H])C=1O[H])C1C([H])=C([H])C(F)=C([H])C=1F
-4.59,[H]C1=C([H])C([H])=C2C(SC([H])(C3C([H])=C([H])C(OC([H])([H])[H])=C([H])C=3[H])C([H])(OC(=O)C([H])([H])[H])C(=O)N2C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])=C1[H]
-5.62,[H]C1=NC(=C([H])C([H])=C1[H])C(C(=O)N([H])[H])(C1C([H])=C([H])C([H])=C([H])C=1[H])C([H])([H])C([H])([H])N(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H]
-4.65,[H]OC([H])(C1C([H])=C([H])C([H])=C([H])C=1[H])C([H])(N([H])C([H])([H])[H])C([H])([H])[H]
-4.7,[H]OC([H])([H])C([H])(N([H])C(=O)C1([H])C([H])=C2C3C([H])=C([H])C([H])=C4C=3C(=C([H])N4[H])C([H])([H])C2([H])N(C([H])([H])[H])C1([H])[H])C([H])([H])[H]
-6.1,[H]OC([H])([H])C([H])(N([H])C([H])([H])C([H])([H])N([H])C([H])(C([H])([H])O[H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H]
-4.54,[H]C#CC1(O[H])C([H])([H])C([H])([H])C2([H])C3([H])C([H])([H])C([H])([H])C4C([H])=C(O[H])C([H])=C([H])C=4C3([H])C([H])([H])C([H])([H])C12C([H])([H])[H]
-6.15,[H]C1SC(=NC=1C([H])([H])SC([H])([H])C([H])([H])C(=NS(=O)(=O)N([H])[H])N([H])[H])N=C(N([H])[H])N([H])[H]
-5.3,[H]C1=C([H])C([H])=C(C([H])=C1[H])C([H])(OC1C([H])=C([H])C(=C([H])C=1[H])C(F)(F)F)C([H])([H])C([H])([H])N([H])C([H])([H])[H]
-4.8,[H]OC(=O)C([H])(C1C([H])=C([H])C(=C(F)C=1[H])C1C([H])=C([H])C([H])=C([H])C=1[H])C([H])([H])[H]
-5.25,[H]C1=NC(=C([H])N=C1C(=O)N([H])C([H])([H])C([H])([H])C1C([H])=C([H])C(=C([H])C=1[H])S(=O)(=O)N([H])C(=O)N([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])([H])[H]
-4.52,[H]C1=C(OC([H])([H])[H])C2C(=O)C3(OC=2C(Cl)=C1OC([H])([H])[H])C(OC([H])([H])[H])=C([H])C(=O)C([H])([H])C3([H])C([H])([H])[H]
-6.05,[H]C1=C(Cl)C(=C([H])C2=C1N([H])C([H])([H])N([H])S2(=O)=O)S(=O)(=O)N([H])[H]
-4.74,[H]C1=C([H])C([H])=C2C(=C1[H])N(C1=C([H])C([H])=C([H])C([H])=C1C([H])([H])C2([H])[H])C([H])([H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H]
-5.47,[H]OC1([H])C([H])([H])C2=C([H])C([H])=C([H])C([H])=C2C1([H])N([H])C(=O)C([H])(C([H])([H])C1C([H])=C([H])C([H])=C([H])C=1[H])C([H])([H])C([H])(O[H])C([H])([H])N1C([H])([H])C([H])([H])N(C([H])([H])C2=C([H])N=C([H])C([H])=C2[H])C([H])([H])C1([H])C(=O)N([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
-4.71,[H]OC(=O)C([H])([H])C1C2C([H])=C(OC([H])([H])[H])C([H])=C([H])C=2N(C(=O)C2C([H])=C([H])C(Cl)=C([H])C=2[H])C=1C([H])([H])[H]
-4.82,[H]C1=NN(C([H])=N1)C([H])([H])C1(OC([H])([H])C([H])(O1)C([H])([H])OC1C([H])=C([H])C(=C([H])C=1[H])N1C([H])([H])C([H])([H])N(C2C([H])=C([H])C(=C([H])C=2[H])N2C(=O)N(N=C2[H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])C1([H])[H])C1C([H])=C([H])C(Cl)=C([H])C=1Cl
-5.38,[H]C1=NC([H])=C([H])N1C([H])([H])C1(OC([H])([H])C([H])(O1)C([H])([H])OC1C([H])=C([H])C(=C([H])C=1[H])N1C([H])([H])C([H])([H])N(C(=O)C([H])([H])[H])C([H])([H])C1([H])[H])C1C([H])=C([H])C(Cl)=C([H])C=1Cl
-4.89,[H]OC1C([H])=C([H])C(=C([H])C=1C(=O)N([H])[H])C([H])(O[H])C([H])([H])N([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C1C([H])=C([H])C([H])=C([H])C=1[H]
-4.63,[H]C1N=C(C(=C(OC([H])([H])C(F)(F)F)C=1[H])C([H])([H])[H])C([H])([H])S(=O)C1=NC2=C([H])C([H])=C([H])C([H])=C2N1[H]
-4.35,[H]C1=C([H])C(=C(C(=C1[H])C([H])([H])[H])N([H])C(=O)C([H])([H])N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])[H]
-6.3,[H]OC(=O)C([H])(N([H])C([H])(C(=O)N1C([H])([H])C([H])([H])C([H])([H])C1([H])C(=O)O[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])[H])C([H])([H])C([H])([H])C1C([H])=C([H])C([H])=C([H])C=1[H]
-6.05,[H]OC([H])([H])C1=C(Cl)N=C(N1C([H])([H])C1C([H])=C([H])C(=C([H])C=1[H])C1=C([H])C([H])=C([H])C([H])=C1C1N=NN([H])N=1)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
-4.97,[H]OC1([H])C([H])([H])C(=O)OC([H])(C([H])([H])C([H])([H])C2([H])C([H])(C([H])=C([H])C3=C([H])C([H])(C([H])([H])[H])C([H])([H])C([H])(OC(=O)C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])C32[H])C([H])([H])[H])C1([H])[H]
-4.61,[H]C1=C([H])C([H])=C(C(=O)C2C([H])=C([H])C3N=C(N([H])C(=O)OC([H])([H])[H])N([H])C=3C=2[H])C([H])=C1[H]
-6.05,[H]OC(=O)C(N([H])[H])(C([H])([H])[H])C([H])([H])C1C([H])=C([H])C(O[H])=C(O[H])C=1[H]
-4.63,[H]C1=C(OC([H])([H])[H])C(C(=O)N([H])C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])=C([H])C(Cl)=C1N([H])[H]
-4.59,[H]OC([H])(C([H])([H])OC1C([H])=C([H])C(=C([H])C=1[H])C([H])([H])C([H])([H])OC([H])([H])[H])C([H])([H])N([H])C([H])(C([H])([H])[H])C([H])([H])[H]
-4.94,[H]OC([H])([H])C([H])([H])N1C(=NC([H])=C1[N+](=O)[O-])C([H])([H])[H]
-4.57,[H]C1N=C(N2C3C([H])=C([H])C(Cl)=C([H])C=3C(=NC([H])([H])C=12)C1=C([H])C([H])=C([H])C([H])=C1F)C([H])([H])[H]
