LogP(RRCK),smiles
-5.82,[H]OC([H])(C([H])([H])OC1=C([H])C([H])=C([H])C2=C1C([H])([H])C([H])(O[H])C([H])(O[H])C2([H])[H])C([H])([H])N([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
-4.44,[H]OC(=O)C([H])(C1C([H])=C([H])C2C([H])=C(OC([H])([H])[H])C([H])=C([H])C=2C=1[H])C([H])([H])[H]
-4.05,[H]C1=C([H])C([H])=C(C(=C1[H])[N+](=O)[O-])C1([H])C(C(=O)OC([H])([H])[H])=C(N([H])C(=C1C(=O)OC([H])([H])[H])C([H])([H])[H])C([H])([H])[H]
-5.34,[H]OC(=O)C1C(=O)C2=C([H])C(F)=C(C3OC([H])([H])C([H])(N(C=1[H])C=32)C([H])([H])[H])N1C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C1([H])[H]
-4.62,[H]OC(=O)C([H])([H])C([H])([H])C1=NC(=C(O1)C1C([H])=C([H])C([H])=C([H])C=1[H])C1C([H])=C([H])C([H])=C([H])C=1[H]
-4.7,[H]C1C(=NC(=C(N=NC2C([H])=C([H])C([H])=C([H])C=2[H])C=1[H])N([H])[H])N([H])[H]
-4.67,[H]C1=C([H])C([H])=C(C([H])=C1[H])C1(C(=O)N([H])C(=O)N([H])C1=O)C([H])([H])C([H])([H])[H]
-4.55,[H]OC1=NC(C(=O)N1[H])(C1C([H])=C([H])C([H])=C([H])C=1[H])C1C([H])=C([H])C([H])=C([H])C=1[H]
-4.49,[H]C1=NC(=C([H])C([H])=C1[H])N([H])C(=O)C1([H])C(=O)C2C([H])=C([H])C([H])=C([H])C=2S(=O)(=O)N1C([H])([H])[H]
-5.26,[H]OC([H])([H])C(=O)C1(O[H])C([H])([H])C([H])([H])C2([H])C3([H])C([H])([H])C([H])([H])C4=C([H])C(=O)C([H])=C([H])C4(C([H])([H])[H])C3([H])C([H])(O[H])C([H])([H])C12C([H])([H])[H]
-4.83,[H]OC([H])([H])C(=O)C1(O[H])C([H])([H])C([H])([H])C2([H])C3([H])C([H])([H])C([H])([H])C4=C([H])C(=O)C([H])=C([H])C4(C([H])([H])[H])C3([H])C(=O)C([H])([H])C12C([H])([H])[H]
-4.96,[H]C1=NC2C(C([H])=C1[H])=C([H])C(OC([H])([H])[H])=C([H])C=2N([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])N([H])[H]
-5.41,[H]C1=C([H])C([H])=C2C(SC3=C([H])C([H])=C([H])C([H])=C3N2C([H])([H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])=C1[H]
-6.15,[H]C1C([H])=C(OC=1C([H])([H])SC([H])([H])C([H])([H])N([H])C(=C([H])[N+](=O)[O-])N([H])C([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H]
-4.52,[H]C1=NC(=C([H])C([H])=C1[H])N(C([H])([H])[H])C([H])([H])C([H])([H])OC1C([H])=C([H])C(=C([H])C=1[H])C([H])([H])C1([H])SC(=O)N([H])C1=O
-6.05,[H]OC([H])(C([H])([H])N1C([H])([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])C([H])([H])C1([H])C(=O)N([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])(N([H])C(=O)C([H])(N([H])C(=O)C1=NC2=C([H])C([H])=C([H])C([H])=C2C([H])=C1[H])C([H])([H])C(=O)N([H])[H])C([H])([H])C1C([H])=C([H])C([H])=C([H])C=1[H]
-6.1,[H]OC([H])(C([H])([H])OC1C([H])=C([H])C(=C([H])C=1[H])N([H])C(=O)N([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])([H])N([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
-4.16,[H]C1=C([H])C([H])=C(C([H])=C1[H])C(C1C([H])=C([H])C(OC([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])=C([H])C=1[H])=C(C1C([H])=C([H])C([H])=C([H])C=1[H])C([H])([H])C([H])([H])[H]
-4.9,[H]C1N=C(N=C(C=1C([H])([H])C1C([H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C(OC([H])([H])[H])C=1[H])N([H])[H])N([H])[H]
-6.22,[H]OC(=O)C([H])(N(C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C1C([H])=C([H])C(=C([H])C=1[H])C1=C([H])C([H])=C([H])C([H])=C1C1N=NN([H])N=1)C([H])(C([H])([H])[H])C([H])([H])[H]
-4.53,[H]OC1OC2=C([H])C([H])=C([H])C([H])=C2C(=O)C=1C([H])(C1C([H])=C([H])C([H])=C([H])C=1[H])C([H])([H])C(=O)C([H])([H])[H]
-4.91,[H]OC1C([H])=C([H])C(=C([H])C=1[H])N([H])C(=O)C([H])([H])[H]
-5.42,[H]N([H])C1=NC(=C(N=C1Cl)C(=O)N=C(N([H])[H])N([H])[H])N([H])[H]
-5.39,[H]C1=C([H])C([H])=C2C(=C1[H])C(C1=C([H])C([H])=C([H])C([H])=C1C([H])([H])C2([H])[H])=C([H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H]
-4.51,[H]C1=C([H])C([H])=C(C([H])=C1[H])N1C(=O)C([H])=C(N1C([H])([H])[H])C([H])([H])[H]
-5.82,[H]OC([H])(C([H])([H])OC1C([H])=C([H])C(=C([H])C=1[H])C([H])([H])C(=O)N([H])[H])C([H])([H])N([H])C([H])(C([H])([H])[H])C([H])([H])[H]
-6.15,[H]OC1([H])C([H])(OC([H])(C([H])([H])[H])C([H])([H])C1([H])N(C([H])([H])[H])C([H])([H])[H])OC1([H])C([H])(C([H])([H])[H])C([H])(OC2([H])OC([H])(C([H])([H])[H])C([H])(O[H])C(OC([H])([H])[H])(C([H])([H])[H])C2([H])[H])C([H])(C(=O)OC([H])(C([H])([H])C([H])([H])[H])C(O[H])(C([H])([H])[H])C([H])(O[H])C([H])(N(C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C1(O[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])[H]
-5.21,[H]OC12OC([H])(C([H])(OC([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C(=C([H])C([H])(C(=O)C([H])([H])C([H])(O[H])C([H])(C([H])([H])[H])C([H])(OC(=O)C3([H])N(C(=O)C1=O)C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C(=C([H])C1([H])C([H])([H])C([H])([H])C([H])(O[H])C([H])(OC([H])([H])[H])C1([H])[H])C([H])([H])[H])C([H])([H])C([H])=C([H])[H])C([H])([H])[H])C([H])(OC([H])([H])[H])C([H])([H])C2([H])C([H])([H])[H]
-6.4,[H]OC(=O)C([H])([H])C1([H])C(=O)N([H])C([H])(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C2([H])C(=O)N(C([H])([H])[H])C([H])(C(=O)N([H])C([H])(C(=O)N(C([H])([H])[H])C([H])(C(=O)N1C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C1C([H])=C([H])C(O[H])=C([H])C=1[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]
-5.74,[H]OC1C([H])=C([H])C(=C([H])C=1[H])C([H])([H])C1([H])C(=O)N([H])C([H])(C(=O)N([H])C([H])(C(=O)N([H])C([H])(C(=O)N([H])C([H])(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C2([H])C(=O)N1[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]
-6.52,[H]OC1C([H])=C([H])C(=C([H])C=1[H])C([H])([H])C1([H])C(=O)N([H])C([H])(C(=O)N(C([H])([H])[H])C([H])(C(=O)N(C([H])([H])[H])C([H])(C(=O)N([H])C([H])(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C2([H])C(=O)N1C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]
-6.7,[H]OC1C([H])=C([H])C(=C([H])C=1[H])C([H])([H])C1([H])C(=O)N([H])C([H])(C(=O)N(C([H])([H])[H])C([H])(C(=O)N(C([H])([H])[H])C([H])(C(=O)N([H])C([H])(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C2([H])C(=O)N1C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]
-6.15,[H]OC1C([H])=C([H])C(=C([H])C=1[H])C([H])([H])C1([H])C(=O)N([H])C([H])(C(=O)N(C([H])([H])[H])C([H])(C(=O)N(C([H])([H])[H])C([H])(C(=O)N([H])C([H])(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C2([H])C(=O)N1C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]
-5.85,[H]OC1C([H])=C([H])C(=C([H])C=1[H])C([H])([H])C1([H])C(=O)N([H])C([H])(C(=O)N(C([H])([H])[H])C([H])(C(=O)N(C([H])([H])[H])C([H])(C(=O)N([H])C([H])(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C2([H])C(=O)N1C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C(=O)N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]
-5.92,[H]OC1C([H])=C([H])C(=C([H])C=1[H])C([H])([H])C1([H])C(=O)N([H])C([H])(C(=O)N(C([H])([H])[H])C([H])(C(=O)N(C([H])([H])[H])C([H])(C(=O)N([H])C([H])(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C2([H])C(=O)N1C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]
-6.22,[H]OC1C([H])=C([H])C(=C([H])C=1[H])C([H])([H])C1([H])C(=O)N([H])C([H])(C(=O)N(C([H])([H])[H])C([H])(C(=O)N(C([H])([H])[H])C([H])(C(=O)N([H])C([H])(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C2([H])C(=O)N1C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C(=O)N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]
-5.72,[H]OC1C([H])=C([H])C(=C([H])C=1[H])C([H])([H])C1([H])C(=O)N([H])C([H])(C(=O)N(C([H])([H])[H])C([H])(C(=O)N(C([H])([H])[H])C([H])(C(=O)N([H])C([H])(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C2([H])C(=O)N1C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])O[H]
-6.12,[H]OC1C([H])=C([H])C(=C([H])C=1[H])C([H])([H])C1([H])C(=O)N([H])C([H])(C(=O)N(C([H])([H])[H])C([H])(C(=O)N(C([H])([H])[H])C([H])(C(=O)N([H])C([H])(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C2([H])C(=O)N1C([H])([H])[H])C([H])([H])O[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]
-5.46,[H]OC1C([H])=C([H])C(=C([H])C=1[H])C([H])([H])C1([H])C(=O)N(C([H])([H])[H])C([H])(C(=O)N(C([H])([H])[H])C([H])(C(=O)N(C([H])([H])[H])C([H])(C(=O)N(C([H])([H])[H])C([H])(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C2([H])C(=O)N1C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]
-5.31,[H]OC1C([H])=C([H])C(=C([H])C=1[H])C([H])([H])C1([H])C(=O)N([H])C([H])(C(=O)N(C([H])([H])[H])C([H])(C(=O)N(C([H])([H])[H])C([H])(C(=O)N([H])C([H])(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C2([H])C(=O)N1C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]
-6.3,[H]OC1C([H])=C([H])C(=C([H])C=1[H])C([H])([H])C1([H])C(=O)N([H])C([H])(C(=O)N([H])C([H])(C(=O)N([H])C([H])(C(=O)N([H])C([H])(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C2([H])C(=O)N1[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]
-5.39,[H]OC1C([H])=C([H])C(=C([H])C=1[H])C([H])([H])C1([H])C(=O)N(C([H])([H])[H])C([H])(C(=O)N(C([H])([H])[H])C([H])(C(=O)N([H])C([H])(C(=O)N(C([H])([H])[H])C([H])(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C2([H])C(=O)N1C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]
-5.21,[H]OC1C([H])=C([H])C(=C([H])C=1[H])C([H])([H])C1([H])C(=O)N(C([H])([H])[H])C([H])(C(=O)N(C([H])([H])[H])C([H])(C(=O)N(C([H])([H])[H])C([H])(C(=O)N(C([H])([H])[H])C([H])(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C2([H])C(=O)N1C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]
-5.8,[H]OC1C([H])=C([H])C(=C([H])C=1[H])C([H])([H])C1([H])C(=O)N([H])C([H])(C(=O)N(C([H])([H])[H])C([H])(C(=O)N(C([H])([H])[H])C([H])(C(=O)N([H])C([H])(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C2([H])C(=O)N1C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])O[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]
-5.33,[H]OC1C([H])=C([H])C(=C([H])C=1[H])C([H])([H])C1([H])C(=O)N([H])C([H])(C(=O)N(C([H])([H])[H])C([H])(C(=O)N(C([H])([H])[H])C([H])(C(=O)N([H])C([H])(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C2([H])C(=O)N1C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(O[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]
-5.49,[H]OC1C([H])=C([H])C(=C([H])C=1[H])C([H])([H])C1([H])C(=O)N([H])C([H])(C(=O)N(C([H])([H])[H])C([H])(C(=O)N(C([H])([H])[H])C([H])(C(=O)N([H])C([H])(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C2([H])C(=O)N1C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]
-5.26,[H]OC1C([H])=C([H])C(=C([H])C=1[H])C([H])([H])C1([H])C(=O)N([H])C([H])(C(=O)N(C([H])([H])[H])C([H])(C(=O)N(C([H])([H])[H])C([H])(C(=O)N([H])C([H])(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C2([H])C(=O)N1C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]
-5.89,[H]OC1C([H])=C([H])C(=C([H])C=1[H])C([H])([H])C1([H])C(=O)N([H])C([H])(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C2([H])C(=O)N(C([H])([H])[H])C([H])(C(=O)N([H])C([H])(C(=O)N(C([H])([H])[H])C([H])(C(=O)N1C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C1C([H])=C([H])C(O[H])=C([H])C=1[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]
-5.24,[H]OC1C([H])=C([H])C(=C([H])C=1[H])C([H])([H])C1([H])C(=O)N([H])C([H])(C(=O)N(C([H])([H])[H])C([H])(C(=O)N(C([H])([H])[H])C([H])(C(=O)N([H])C([H])(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C2([H])C(=O)N1C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C1C([H])=C([H])C([H])=C([H])C=1[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]
