Name,Description,Type ,Data Points,Reference
BACE (Regression),Provides bindings results for a set of inhibitors of human beta-secretase (BACE-1),Molecules,1513,`ref <https://pubs.rsc.org/en/content/articlehtml/2018/sc/c7sc02664a>`_
BACE (Classification),Provides bindings results for a set of inhibitors of human beta-secretase (BACE-1),Molecules,1513,`ref <https://pubs.rsc.org/en/content/articlehtml/2018/sc/c7sc02664a>`_
BBBC (BBBC001),Images of HT29 colon cancer cells,Images,6,`ref <https://data.broadinstitute.org/bbbc/BBBC001/>`_
BBBC (BBBC002),Images of Drosophilia Kc167 cells,Images,50,`ref <https://data.broadinstitute.org/bbbc/BBBC002/>`_
BBBC (BBBC003),DIC Images of Mouse Embryos,Images,15,`ref <https://data.broadinstitute.org/bbbc/BBBC003/>`_
BBBC (BBBC004),Synthetic Images of clustered nuclei,Images,20,`ref <https://data.broadinstitute.org/bbbc/BBBC004/>`_
BBBC (BBBC004),Synthetic Images of clustered nuclei,Images,19200,`ref <https://data.broadinstitute.org/bbbc/BBBC005/>`_
BBBP,Blood-Brain Barrier Penetration designed for the modeling and prediction of barrier permeability,Binary labels on permeability properties,2000,`ref <https://pubs.rsc.org/en/content/articlehtml/2018/sc/c7sc02664a>`_
Cell Counting,Synthetic emulations of fluorescence microscopic images of bacterial cells,Images,200,`ref <http://www.robots.ox.ac.uk/~vgg/research/counting/index_org.html.>`_
ChEMBL (set = ‘sparse’),A sparse subset of ChEMBL with activity data for one target,Molecules,244 245,`ref <https://www.ebi.ac.uk/chembl/.>`_
ChEMBL (set = ‘5thresh’),A subset of ChEMBL with activity data for at least five targets,Molecules,23 871,`ref <https://www.ebi.ac.uk/chembl/.>`_
ChEMBL25,,Molecules,,`ref <https://www.ebi.ac.uk/chembl/.>`_
Clearance,,,,`ref <https://arxiv.org/abs/1703.00564>`_
Clintox,Compares drugs approved by the FDA and drugs that have failed clinical trials for toxicity reasons.,Molecules,1491,`ref <https://pubs.rsc.org/en/content/articlehtml/2018/sc/c7sc02664a>`_
Delaney,A regression dataset containing structures and water solubility data,Molecules,1128,`ref <https://arxiv.org/abs/1703.00564>`_
Factors,Merck in-house compounds that were measured for IC50 of inhibition on 12 serine proteases,Molecules,1500,
Freesolv,A collection of experimental and calculated hydration free energies for small molecules in water,Molecules,643,`ref <https://pubs.rsc.org/en/content/articlehtml/2018/sc/c7sc02664a>`_
HIV,A dataset wich tested the ability to inhibit HIV replication,Molecules,40 000,`ref <https://pubs.rsc.org/en/content/articlehtml/2018/sc/c7sc02664a>`_
HOPV,Harvard Organic Photovoltaic dataset utilized as p-type materials,Molecules,350,
HPPB,Thermosynamic solubility datasets,,,
KAGGLE,in-house compounds that were measured on 15 enzyme inhibition and ADME/TOX datasets.,Molecules,100 000,`ref <https://pubmed.ncbi.nlm.nih.gov/25635324/>`_
KINASE,In-house compounds that were measured for IC50 of inhibition on 99 protein kinases,Molecules,2 500,
LIPO,Experimental results of octanol/water distribution coefficient (logD at pH 7.4),Molecules,4 200,`ref <https://arxiv.org/abs/1703.00564>`_
Band Gap,Experimentally measured band gaps for inorganic crystal structure,Materials,4 604,`ref <https://pubs.acs.org/doi/10.1021/acs.jpclett.8b00124>`_
Perovskite,Contains Perovskite structures and their formation energies,Materials,18 928,`ref <https://pubs.rsc.org/en/content/articlelanding/2012/ee/c2ee22341d>`_
MP Formation Energy,Contains calculated formation energies and inorganic crystal structures from the Materials Project database,Materials,132 752,`ref <https://pubs.aip.org/aip/apm/article/1/1/011002/119685/Commentary-The-Materials-Project-A-materials>`_
MP Metallicity,Contains inorganic crystal structures from the Materials Project database labeled as metals or nonmetals,Materials,106 113,`ref <https://pubs.aip.org/aip/apm/article/1/1/011002/119685/Commentary-The-Materials-Project-A-materials>`_
MUV,Benchmark dataset selected from PubChem BioAssay by applying a refined nearest neighbor analysis,Molecules,90 000,`ref <https://arxiv.org/abs/1703.00564>`_
NCI,,,,
PCBA,Database consisting of biological activities of small molecules generated by high-throughput screening,Molecules,400 000,`ref <https://pubs.rsc.org/en/content/articlehtml/2018/sc/c7sc02664a>`_
PDBBIND,Experimental binding affinity data and structures of protein-ligand complexes,Molecules,“refined set”  4 852 - “general set” 12 800 - “core set” 193,`ref <https://pubmed.ncbi.nlm.nih.gov/19358517/>`_
PPB,,,,
QM7,Subset of GDB-13  containing up to 7 heavy atoms CNOS,Molecules ,7 165,`ref <https://pubs.rsc.org/en/content/articlehtml/2018/sc/c7sc02664a>`_
QM8,Dataset used in a study on modeling quantum mechanical calculations of electronic spectra and excited state energy of small molecules,Molecules,20 000,`ref <https://pubs.rsc.org/en/content/articlehtml/2018/sc/c7sc02664a>`_
QM9,Dataset that provides geometric/energetic/electronic and thermodynamic properties for a subset of GDB-17 database,Molecules,134 000,`ref <https://pubs.rsc.org/en/content/articlehtml/2018/sc/c7sc02664a>`_
SAMPL,Similat to FreeSolv dataset which provides experimental and calculated hydration free energy of small molecules in water,,,
SIDER,The Side Effect Resource (SIDER) is a database of marketed drugs and adverse drug reactions (ADR),Molecules,1 427,`ref <https://pubs.rsc.org/en/content/articlehtml/2018/sc/c7sc02664a>`_
Thermosol,Thermodynamic solubility datasets,,,
Tox21,The “Toxicology in the 21st Century” (Tox21) initiative created a public database measuring the toxicity of compounds,Molecules,8 000,`ref <https://pubs.rsc.org/en/content/articlehtml/2018/sc/c7sc02664a>`_
Toxcast,Toxicology data for an extensive library of compounds based on in vitro high-throughput screening,Molecules,8 000,`ref <https://pubs.rsc.org/en/content/articlehtml/2018/sc/c7sc02664a>`_
USPTO,Subsets of USPTO dataset of organic chemical reactions extracted from US patents and patent applications,Chemical reactions SMILES,MIT  479 000  - STEREO  1 M - 50K  50 000,`ref <https://doi.org/10.6084/m9.figshare.5104873.v1>`_
UV,The UV dataset tests Merck’s internal compounds on 190 absorption wavelengths between 210 and 400 nm,Molecules,10 000,
ZINC15,Purchasable compounds for virtual screening of small molecules to identify structures that are likely to bind to drug targets,Molecules,250K - 1M - 10M,`ref <http://pubs.acs.org/doi/abs/10.1021/acs.jcim.5b00559.>`_
Platinum Adsorption,Different configurations of Adsorbates (i.e N and NO) on Platinum surface represented as Lattice and their formation energy,Adsorbate Configurations,648,