smiles,zinc_id,mwt,logp,reactive,purchasable,tranche_name
CCN(CCSC)C(=O)N[C@@](C)(CC)C(F)(F)F,ZINC000933510105,286.363,3.112,0,20,CGAD
CC1(C)CN(C(=O)Nc2cc3ccccc3nn2)C[C@@]2(CCOC2)O1,ZINC000888615590,342.399,2.432,0,20,EEAD
CC[C@H](NC(C)=O)C(=O)NCC1(NC(=O)Cc2nonc2C)CC1,ZINC001432326999,337.38,-0.4,0,20,EBAD
O=C(N[C@@H]1CC[C@H](F)C1)[C@H]1C[C@@H]1c1ccc2c(c1)OCCO2,ZINC000345651486,305.349,2.568,0,20,DFAD
COCC(=O)N(C)CC(=O)NCC1(Nc2nccn3nnnc23)CC1,ZINC001110378235,348.367,-1.315,0,20,EAAD
C[C@H](C[C@H](C)N)NC(=O)C(=O)NCCCN1C(=O)CNC1=O,ZINC001327056365,313.358,-1.714,0,20,DAAD
CC(C)(C(N)=O)C(=O)N[C@@H]1CN([C@H]2CCNC2=O)C[C@H]1O,ZINC001193940832,298.343,-2.452,0,20,CAAD
Cc1ccc(C(=O)N2CC[C@@H]2CNC(=O)[C@H]2[C@@H]3COC[C@@H]32)cc1,ZINC000951655579,314.385,1.218,0,20,DDAD
COc1ccc(C(=O)NCC2(NCC=C(C)C)CCC2)cc1,ZINC001754991192,302.418,2.904,0,20,DFAD
CCNC(=O)CC(=O)NC[C@@H](CO)N[C@@H](C)c1nncn1C,ZINC001755626142,312.374,-1.531,0,20,DAAD
CCn1nncc1CN1C[C@@H](O)[C@H](NC(=O)C2=COCCC2)C1,ZINC001076791954,321.381,-0.34600000000000003,0,20,DBAD
CN(C)C(=O)CN1C[C@@H]2COC[C@H](C1)N2C(=O)[C@@H]1CCCOC1,ZINC001271494958,325.409,-0.5870000000000001,0,20,EBAD
O=C(O)CC1(C(=O)NCCc2ccccc2O)CCOCC1,ZINC000663039167,307.346,1.3219999999999998,0,20,DDAD
CCCC(=O)N1CC(N2C[C@H](NC(=O)[C@@H]3CC34CC4)CC2=O)C1,ZINC000995507333,319.405,0.515,0,20,DCAD
CC[C@@H]1CN(C(=O)N[C@@H]2CCCc3c2cnn3C)[C@@H](C)CO1,ZINC000650679373,306.41,2.006,0,20,DEAD
O=C(Cc1nc2ncccn2n1)NC1CCN(Cc2ccon2)CC1,ZINC001004137848,341.375,0.436,0,20,ECAD
O=C(O)c1cc(S(=O)(=O)NC2CC3(CCC3)C2)on1,ZINC000700051447,286.309,0.984,0,20,CCAD
CCc1nnc(CN2C[C@H]3OCCN(C(=O)CNC(C)=O)[C@H]3C2)o1,ZINC001217212233,337.38,-0.82,0,20,EBAD
CCCOc1ccc(C(=O)NCCc2n[nH]c(C)n2)cc1OCCC,ZINC000264328442,346.431,2.6630000000000003,0,20,EFAD
O=C(NCCN1CCNC(=O)C1)NCc1ccc2c(c1)CCO2,ZINC000541903791,318.377,-0.14800000000000002,0,20,DBAD
C[C@H](NC(=O)N1CC[C@@H](c2ccccc2)C1)c1ccn(C)n1,ZINC000334796075,298.39,2.68,0,20,CFAD
C[C@@H]1C[C@H](NC(=O)c2cn(C)nn2)CCN1CC(=O)N(C)C,ZINC000947261538,308.386,-0.514,0,20,DBAD
Cc1cnc(COCC(=O)N2CC(NC(=O)CCn3cncn3)C2)o1,ZINC001415975466,348.36300000000006,-0.4920000000000001,0,20,EBAD
Cc1coc(C(=O)N2CCCC[C@H]2[C@H]2CCCN2CC(=O)N(C)C)c1,ZINC001025258843,347.459,2.135,0,20,EEAD
Cn1nc(C(=O)NCCCNCCO)cc1C(F)(F)F,ZINC001158839641,294.277,0.141,0,20,CCAD
CN1C[C@@H]2C[C@H]1CN2Cc1cccc2c1CCN2C(=O)OC(C)(C)C,ZINC001236977541,343.471,2.873,0,20,EFAD
COCCCN(C)CCNC(=O)C(=O)N1CCNC(=O)C1,ZINC000357586056,300.3590000000001,-1.971,0,20,DAAD
C[C@@H](O)CCCN1C[C@@H]2CCN(C(=O)COCc3ccncc3)[C@@H]2C1,ZINC001189543679,347.459,1.2919999999999998,0,20,EDAD
CCN1CC[C@H](NC(=O)C(=O)NC[C@H]2NC(C)(C)O[C@@H]2C)C1=O,ZINC001331955482,326.397,-1.047,0,20,EAAD
CCN1C[C@@H]2CCN(C(=O)c3cnn4cc(C)cnc34)[C@@H]2C1,ZINC001076308056,299.378,1.204,0,20,CDAD
N[C@@H]1NCN(C(=O)c2ccc(-n3cncn3)nc2)[C@H]2NCN[C@@H]21,ZINC001193700203,315.341,-2.205,0,20,DAAD
CNS(=O)(=O)CCNC(=O)N[C@@](C)(CO)C1CC1,ZINC000784668443,279.362,-1.004,0,20,CAAD
CCCC(=O)N[C@H]1CN(C(=O)c2cnc3n2CCC3)C[C@@H]1C,ZINC001072358519,304.394,1.206,0,20,DDAD
N[C@H](Cc1cn(CCc2cccnc2)nn1)C(=O)O,ZINC000157734251,261.285,-0.13,0,20,CBAD
CN[C@H]1C[C@H]2CC[C@H]1N2C(=O)c1ccccc1CN1CCCCC1,ZINC001275457983,327.472,2.637,0,20,EFAD
COc1ncc(C(=O)N[C@H]2CCN(Cc3cncn3C)C[C@@H]2O)cn1,ZINC001090698402,346.391,-0.416,0,20,EBAD
CN1C[C@H](C(=O)N2C[C@H]3CC[C@@H](C2)N3C(=O)C(N)=O)CC1=O,ZINC000969797459,308.338,-1.848,0,20,DAAD
COc1ccc(C[C@@H](C)C(=O)Nc2ccc(OCCO)cc2)cc1,ZINC000089197910,329.396,2.884,0,20,EFAD
Cc1c(C(=O)N(C)C[C@H]2C[C@@H](O)C2)oc2c1c(C)ccc2C,ZINC000629260833,301.386,3.201,0,20,DGAD
CCCCOCC(=O)OC[C@H]1CCCC[C@@H]1C(=O)OC,ZINC000909020792,286.368,2.326,0,20,CEAD
C[C@@]1(C(=O)O)CN(S(=O)(=O)c2cccc(CC#N)c2)CCO1,ZINC001776508131,324.358,0.617,30,20,DCED
COCc1nc(CN2C[C@H](N3CCCC3)C[C@H]2C)cs1,ZINC000352805110,295.452,2.3480000000000003,0,20,CEAD
C=CCNN=Cc1cccc(O[C@H](C(=O)O)c2ccccc2)c1,ZINC001776059111,310.353,3.0010000000000003,30,20,DGED
O=C([C@@H]1CCCO1)N1CCC[C@@H]1CNCc1cnsn1,ZINC001034852513,296.396,0.7979999999999999,0,20,CCAD
COCCNC[C@@H]1CN(C(=O)c2scnc2Cl)C[C@H]1C,ZINC001106988634,317.842,1.741,0,20,DDAD
Cc1nnccc1C(=O)N1CC[C@H](NC(=O)[C@@H](C)n2cncn2)C1,ZINC000937848992,329.3640000000001,-0.032,0,20,EBAD
CCCCCCNCC1CCN(C(=O)[C@@H](C2CC2)N(C)C)CC1,ZINC001205461840,323.525,2.735,0,20,DFAD
CCOC(C)(C)C(=O)N1CCCC[C@H]([C@H]2CCOC2)C1,ZINC001551169029,283.4120000000001,2.467,0,20,CEAD
CNCc1cccc(NCc2ccc(F)c(C)c2)c1,ZINC000414868632,258.34,3.466,0,20,CGAD
C=CCNC(=O)CN1C[C@@H](NC(=O)COC)[C@@H](n2ccnn2)C1,ZINC001128622208,322.369,-1.432,30,20,DAED
C#Cc1cncc(C(=O)N[C@@H]2CN(CC(N)=O)C[C@H]2OC)c1,ZINC001082116903,302.334,-1.023,30,20,DAED
CCOC(=O)N1CCN(C(=O)CN2C[C@H](O)[C@@H](O)C2)CC1,ZINC000859449743,301.343,-1.676,0,20,DAAD
CC1(N)CCN(C2CCN(C(=O)c3ccc(C#N)cc3)CC2)CC1,ZINC001173425187,326.444,1.976,30,20,EDED
C=CC[C@H]1CCCN(C(=O)C(=O)Nc2c(C)noc2C2CC2)C1,ZINC000658434855,317.389,2.614,30,20,DFED
O=C(Cn1ccccc1=O)NCc1cccc(O)n1,ZINC001320683061,259.265,0.265,0,20,CCAD
C[C@@H](NC(=O)NC1CC(C)(F)C1)c1cccnc1,ZINC000334571408,251.305,2.332,0,20,CEAD
CO[C@H](CNC(=O)Nc1nnn(C(C)C)n1)CC(C)C,ZINC000933455488,284.3640000000001,1.4369999999999998,0,20,CDAD
CC(=O)NC1CC(CNC(=O)c2cnc3[nH]nnc3c2)C1,ZINC000992195185,288.311,-0.003,0,20,CBAD
COc1ccc2c(c1)C[C@H](C(=O)N1CCOCC13CC3)CO2,ZINC000338527306,303.358,1.638,0,20,DDAD
CCOCCOCC(=O)N1CC[C@@H](N[C@@H](C)c2nnnn2C)C1,ZINC001188180022,326.401,-0.485,0,20,EBAD
CC(C)n1ccc(C(=O)N[C@H](C)CN(C)C(=O)c2ccn(C)n2)n1,ZINC001425085307,332.408,1.088,0,20,EDAD
CCN1CCOC[C@H]1C(=O)NC[C@H](O)CN(C)C(=O)c1cn[nH]c1,ZINC001370960810,339.396,-1.321,0,20,EAAD
CC(C)c1cccc(O[C@@H](C)C(=O)N2CCN(C(=O)N(C)C)CC2)c1,ZINC000549974262,347.459,2.403,0,20,EEAD
Cc1nc2ccccc2n1CC(=O)N[C@@H]1CC[C@@H](CNCC2CC2)C1,ZINC000994958124,340.471,2.629,0,20,EFAD
C[C@@H](CN1CCOCC1)C(=O)N1CC[C@@H](N(C)CC#N)C1,ZINC000980412448,294.399,0.011,30,20,CCED
Cc1nc([C@H]2CN(C(=O)[C@@H](N)C(F)(F)F)CCO2)n[nH]1,ZINC000353484563,293.249,-0.097,0,20,CBAD
CCOC1CCN(C(=O)NCCSc2ccc(C)cc2)CC1,ZINC000050096138,322.474,3.298,0,20,DGAD
C=C1CCN(c2nnc([C@@H]3C[C@@H]3C(C)(C)C)n2C)CC1,ZINC001338857142,274.41200000000003,3.1210000000000004,30,20,CGED
CC[C@@H]1CCN(C(=O)NCc2nc(Cc3ccccc3F)no2)[C@H]1C,ZINC001685261364,346.406,3.13,0,20,EGAD
Cc1ncc2n1C[C@@H](C(=O)N1CC[C@]3(CCN(CCCF)C3)C1)CC2,ZINC001041596426,348.466,2.0380000000000003,0,20,EEAD
C=C[C@@H](NCCC1Cc2ccccc2C1)C(=O)OC,ZINC000619703953,259.349,2.109,30,20,CEED
CO[C@@H](CNCCCNC(=O)c1sccc1C)C1CCC1,ZINC001154215067,310.463,2.5810000000000004,0,20,DFAD
O=C(c1ccc([N+](=O)[O-])[nH]1)N1CC[C@H]2CCCC[C@@H]2C1,ZINC001251141151,277.324,2.575,5,20,CFBD
CC1=C(C(=O)NCc2nc(O)n[nH]2)[C@@H](C)n2ncnc2N1C,ZINC000798973439,304.314,-0.297,0,20,DBAD
CCCn1nccc1C(=O)N[C@@H](C)[C@@H]1CCN(C(=O)CC)C1,ZINC000958980597,306.41,1.67,0,20,DDAD
C[C@H](CNC(=O)c1ccnc(O)c1)CNc1cccc(F)n1,ZINC001103910608,304.325,1.7990000000000002,0,20,DDAD
COCCCC(=O)OCC(=O)c1c(N)n(C)c(=O)n(C)c1=O,ZINC000051657660,313.31,-1.181,0,20,DAAD
Cn1nnc2cccc(C(=O)N[C@H]3C[C@H](NCCF)C3)c21,ZINC001021152890,291.33,0.7879999999999999,0,20,CCAD
C[C@@H](CC(=O)N(C)C1CC(C)(C)C1)c1ccncc1,ZINC000655337346,260.381,3.222,0,20,CGAD
CC(C)C[C@]1(C(=O)N[C@@H]2CCC[C@@H]2C(=O)O)CCNC1=O,ZINC001588860625,296.367,0.908,0,20,CCAD
CCC(=O)N[C@@H](C)CCNC(=O)c1cccc2c1CCCC2,ZINC001076664594,302.418,2.6,0,20,DFAD
CCCN[C@@H]1CCC[C@H](NC(=O)CN2CCNC(=O)C2)C1,ZINC000981267787,296.415,-0.155,0,20,CBAD
CCCCCCN(C)[C@H]1CCN(C(=O)COC[C@@H]2CCCO2)C1,ZINC001194522970,326.481,2.295,0,20,EEAD
COc1ccc(-c2cccn(Cc3ccc(F)cc3)c2=O)cc1N,ZINC001244896581,324.355,3.294,0,20,DGAD
C=CC(C)(C)C(=O)N1CC[C@H](CCNC(=O)C2(C(F)F)CC2)C1,ZINC001060068189,328.403,2.599,30,20,EFED
CC[C@@H](C)CC[C@@H](O)CC(=O)N(C)CCOc1ccccc1C,ZINC001136026932,321.461,3.41,0,20,DGAD
Cc1nocc1CN1CC[C@@H](NC(=O)[C@@H]2CNC(=O)N2)C1,ZINC001015634806,293.327,-0.645,0,20,CBAD
CC#CCNC(=O)C(=O)Nc1ccc(C(=O)NCC(=O)O)cc1,ZINC001602949213,317.301,-0.421,30,20,DBED
CC[C@H]1CC[C@H](C(=O)N[C@H]2C[C@@H](NC(=O)c3cc[nH]c3C)C2)CC1,ZINC000974001208,331.46,2.917,0,20,EFAD
CN(C[C@H]1COCCO1)C(=O)C(=O)N1CCO[C@H](C#N)C1,ZINC001328170566,297.311,-1.389,30,20,CAED
CC[C@H](O)CNC(=O)C[C@@H](C)c1ccc(F)cc1F,ZINC000292490101,271.307,2.346,0,20,CEAD
C[C@@H](CNCc1nnnn1C1CC1)N(C)C(=O)C1=COCCC1,ZINC001419656951,320.397,0.639,0,20,DCAD
Cc1cnc(CNCc2nc(C(C)(C)C)cs2)o1,ZINC000231651584,265.382,3.027,0,20,CGAD
CNC(=O)Cn1nc(NC(=O)[C@H]2OCC[C@H]2N)cc1C,ZINC001578560370,281.316,-1.008,0,20,CAAD
CC[C@H](CNC(C)=O)NC(=O)[C@@H](C)c1cnn(C)c1,ZINC001704619303,266.345,0.555,0,20,CCAD
CC[C@@H](NC(=O)CN1C(=O)CCc2ccccc21)[C@H](O)C(F)(F)F,ZINC000270826496,344.333,1.784,0,20,EDAD
CN(C)C(=O)c1cncc(-c2cccc(F)c2O)c1,ZINC001242351549,260.268,2.295,0,20,CEAD
C[C@H](NS(C)(=O)=O)C(=O)N1C[C@H]2COCC[C@@]2(C(=O)O)C1,ZINC001593347167,320.367,-1.126,0,20,DAAD
CC(C)n1cc(CN2CC(CNC(=O)[C@H]3[C@@H]4CCC[C@@H]43)C2)nn1,ZINC001031597645,317.437,1.453,0,20,DDAD
C[C@@H]1C[C@@H](C(=O)NCCN(CCO)C(=O)C(N)=O)CO1,ZINC001058646344,287.316,-2.166,0,20,CAAD
CC(=O)N(C)CC(=O)N1CCO[C@@H]2CN([C@H](C)c3ccccc3)C[C@@H]21,ZINC001217316257,345.4430000000001,1.138,0,20,EDAD
C[C@@H]1CC(C(=O)N2CCC(NC(=O)c3ccccn3)CC2)C[C@@H](C)C1,ZINC000368005773,343.471,2.875,0,20,EFAD
O=C(C[C@@H]1COC(=O)C1)N1C[C@@H](NC(=O)c2cnsn2)[C@@H](O)C1,ZINC000961715860,340.361,-1.207,0,20,EAAD
CC[C@@H](C(N)=O)N1CC(O)(CNC(=O)c2cc(C(N)=O)cs2)C1,ZINC001421505319,340.405,-1.113,0,20,EAAD
CNC(=O)C(=O)N1CCn2c(C(=O)NCC(F)F)cnc2C1,ZINC001271441779,315.28,-1.034,0,20,DAAD
Cc1nn[nH]c1C(=O)N1C[C@H](C)[C@H](CNC(=O)CS(C)(=O)=O)C1,ZINC001053127275,343.409,-1.018,0,20,EAAD
COCc1sccc1C(=O)NC[C@H](C)C(=O)O,ZINC000630137930,257.311,1.345,0,20,CDAD
Cn1cc(C(=O)N[C@H](CO)c2cccnc2)c(=O)n(C)c1=O,ZINC001362900499,304.306,-1.058,0,20,DAAD
CCc1ccc(S(=O)(=O)N2CCC[C@@](C)(O)CC2)cc1,ZINC000230371036,297.42,2.175,0,20,CEAD
Cc1nc(C(C)C)ncc1C(=O)NCC[C@@H]1CCO[C@@H](C)C1,ZINC000879453046,305.422,2.843,0,20,DFAD
CN(C[C@H]1COCCO1)C(=O)C(=O)N[C@@H]1CCC(=O)N(C)C1=O,ZINC001334227239,327.337,-1.876,0,20,EAAD
C[C@H](O)CN1CC[C@H](N(C)C(=O)c2ccc(C(N)=O)[nH]2)C1,ZINC001033425921,294.355,-0.359,0,20,CBAD
Cc1ccc(-c2nc(C(C)C)nc(N(C)C)n2)cc1CO,ZINC001242383849,286.379,2.529,0,20,CFAD
COc1ccccc1C1(C(=O)N2CCSCC2)CCCCC1,ZINC000559074551,319.47,3.4730000000000003,0,20,DGAD
C#Cc1cccnc1N1C[C@H]2CCC[C@]2(NC(=O)OC(C)(C)C)C1,ZINC000856793239,327.428,2.947,30,20,EFED
CCC(CC)c1cc(C(=O)NC2CN([C@H](C)C(N)=O)C2)on1,ZINC001031064843,308.382,0.866,0,20,DCAD
CN(C)C1(CNC(=O)N[C@H]2CCCN3CCCC[C@@H]23)CCCCC1,ZINC000654349129,336.524,2.567,0,20,EFAD
O=C(N[C@H]1CCc2ccccc21)[C@@H]1CC12CCNCC2,ZINC000070252818,270.376,2.18,0,20,CEAD
CCn1c(N)c(C(=O)CN(C)[C@H](C)CC#N)c(=O)[nH]c1=O,ZINC000156916574,293.327,-0.445,30,20,CBED
Cc1nnc(CN2CC[C@H](NC(=O)c3ccnnc3)C2)s1,ZINC001015748249,304.379,0.6409999999999999,0,20,DCAD
Cc1cc(C(=O)OCc2c(F)cccc2F)nn1C(C)C,ZINC000835276250,294.301,3.408,0,20,CGAD
O=C(NCC1CCNCC1)[C@@H]1C[C@]12CCCNC2,ZINC000655411367,251.374,0.4920000000000001,0,20,CCAD
CCOC(=O)N1CC[C@@H](NC(=S)Nc2ccc(F)cc2)C1,ZINC000495382219,311.382,2.343,0,20,DEAD
CC(C)(F)C(=O)N[C@H]1C[C@H](NC(=O)[C@]23C[C@@H]2CCCC3)C1,ZINC000972891431,296.386,2.0780000000000003,0,20,CEAD
CCN1C[C@@H]2CCN(C(=O)Cn3ncn(C)c3=O)CC[C@@H]2C1,ZINC000946653957,307.398,-0.228,0,20,DBAD
CC1(C)CN(C(=O)c2ccccc2[N+](=O)[O-])C1(C)C,ZINC001116183754,262.309,2.855,5,20,CFBD
Cc1cnc(CN2CC3(C[C@@H]3C(=O)N3CC=CC3)C2)s1,ZINC001277086128,289.404,1.672,0,20,CDAD
COCC(=O)NCC1(O)CN(C(=O)c2cn[nH]c2)C1,ZINC001041151839,268.273,-1.641,0,20,CAAD
CCC(=O)N1C[C@H]2C[C@@H]3CN(Cc4nc(N(C)C)no4)C[C@]2(C1)O3,ZINC001070741542,335.408,0.34700000000000003,0,20,ECAD
Cc1cc(Cl)c(O[C@@H](C)CN2CCOCC2)c(Cl)c1,ZINC001231222274,304.217,3.401,0,20,DGAD
CC(C)(C)OCCCCOC(=O)[C@H]1Cc2ccccc2O1,ZINC000789005192,292.375,3.129,0,20,CGAD
Cc1cc([C@@](C)(O)CNC(=S)N[C@H](C)c2cccs2)c(C)o1,ZINC000741483724,338.4980000000001,3.391,0,20,EGAD
Cc1c(C(=O)NC[C@H](O)CNC(=O)Cn2ncnn2)cnn1C,ZINC001376496630,322.329,-2.378,0,20,DAAD
COc1cc(Cl)ccc1C(=O)NC[C@@H](O)CC(C)(C)C,ZINC000172306277,299.798,2.8760000000000003,0,20,CFAD
C[C@@H](NC(=O)OC(C)(C)C)[C@@H]1CCN(Cc2cnn(C)c2)C1,ZINC000495069532,308.426,2.155,0,20,DEAD
CCCC(=O)N1CCC[C@H](N(C)C(=O)c2ccncc2CC)CC1,ZINC000967596855,331.46,2.897,0,20,EFAD
Cc1cc(C(=O)N[C@H]2CC[C@@H](CNC(=O)c3cccc(F)c3)C2)n[nH]1,ZINC001015354481,344.39,2.186,0,20,EEAD
CO[C@@H]1CS(=O)(=O)C[C@H]1NC(=O)C(=O)NC[C@@H]1CCCN1,ZINC000659715262,319.383,-2.217,0,20,DAAD
C[C@@H](NS(=O)(=O)c1ccccc1)c1nc(C2CCC2)no1,ZINC000634666383,307.375,2.377,0,20,DEAD
N#CCCN(CCC#N)S(=O)(=O)c1cc(Cl)c(O)c(Cl)c1,ZINC001260874530,348.211,2.517,30,20,EFED
NC(=O)c1csc(CNC(=O)C2=NN(CCO)C(=O)CC2)n1,ZINC000855873039,325.35,-1.171,0,20,EAAD
C#CCN[C@@H](C)[C@H]1CN(C(=O)Cc2cnoc2)CCO1,ZINC001755445608,277.324,0.056,30,20,CCED
Cc1ccc(CN[C@H](c2cccs2)c2nc[nH]n2)cc1,ZINC000340178982,284.388,3.054,0,20,CGAD
C[C@@H]1CN(C(=O)c2cccc(NC(=O)N(C)C)c2)C[C@H]1CO,ZINC000191824018,305.378,1.481,0,20,DDAD
Cc1cnn(CC(=O)N(C)C[C@H](O)CNC(=O)c2nocc2C)c1,ZINC001382939935,335.3640000000001,-0.263,0,20,EBAD
CCc1c[nH]c2ncnc(N3CC[C@H](OC)[C@H](C)C3)c12,ZINC000894064277,274.368,2.382,0,20,CEAD
COC(=O)[C@@H]1C[C@@H](C(=O)O)CCN1C(=O)CN(C)Cc1ccccc1,ZINC001610171849,348.399,0.983,0,20,ECAD
Nc1ncccc1CN1CCN2C(=O)C(=O)NC[C@H]2C1,ZINC000329669200,275.312,-1.194,0,20,CAAD
CCc1nn(C)cc1C(=O)N[C@H]1CCN([C@@H](C)C(=O)N(CC)CC)C1,ZINC001367009256,349.4790000000001,1.044,0,20,EDAD
Cc1cccc(C)c1CNC[C@@H]1CCCN1C(=O)c1ccc[nH]1,ZINC001044920043,311.4290000000001,3.026,0,20,DGAD
C#CCCN1CCC[C@@H]([C@H](C)NC(=O)c2n[nH]c3ccccc32)C1,ZINC001025616294,324.428,2.417,30,20,DEED
CN(C)c1nccc(CNCc2cn(Cc3ccccc3)nn2)n1,ZINC000893302114,323.404,1.472,0,20,DDAD
O=C([C@@H]1CCC(=O)C1)N1CCCCc2ccc([N+](=O)[O-])cc21,ZINC000912653466,302.33,2.633,5,20,DFBD
O=C(O)COCC(=O)N1CCC[C@H](c2nc(O)n[nH]2)C1,ZINC001602076387,284.272,-0.6829999999999999,0,20,CBAD
CC(C)N1CCC[C@@H]1C(=O)N1CC(NC(=O)c2cnsn2)C1,ZINC000990333423,323.422,0.35200000000000004,0,20,DCAD
CC(C)(F)C(=O)N1CC(CNC(=O)CCn2cnnn2)C1,ZINC001450686057,298.322,-0.614,0,20,CBAD
Cc1cc(Cl)cnc1NC(=O)[C@@H]1COc2ccccc21,ZINC000336086570,288.7340000000001,3.158,0,20,CGAD
CN(C)C(=O)[C@H]1CC[C@H](CNC(=O)N2CCN(C3CNC3)CC2)O1,ZINC001578397527,339.44,-1.079,0,20,EAAD
C[C@@H]1CCC[C@@](CNC(=O)C(=O)N2CCCC[C@H]2C)(N(C)C)C1,ZINC000343033283,323.481,2.014,0,20,DEAD
Cc1sccc1C(=O)NCCN(C(=O)C1[C@@H]2CCC[C@@H]12)C1CC1,ZINC001497436234,332.469,2.823,0,20,EFAD
CCOC(=O)CO/N=C(\C(=O)N/C(C)=C\C(C)=O)c1cc[nH]n1,ZINC001177263173,322.321,0.303,30,20,DCED
Cc1ccc(C)n1[C@@H](C)C(=O)NCCCNC(C)C,ZINC001176942211,265.401,2.17,0,20,CEAD
C[C@H](CN(C)[C@@H](C)c1ccc(F)c(Cl)c1)NC(=O)c1ccon1,ZINC001268725423,339.798,3.278,0,20,EGAD
Cc1nnc(N(C)C(=O)C2CCC(OC(F)F)CC2)s1,ZINC000427727468,305.35,2.607,0,20,DFAD
CC[C@@H](C#N)NC(=O)[C@@H](C)CCCc1ccccc1,ZINC000180158762,258.365,3.064,30,20,CGED
